Hex Representation, Visits, Green Win Rate
0d40010000000010302000000020004a00, 38, 0.5
0d0a090000000010300000000000400201, 44, 0.45454547
0d80022000000004301000000010000102, 68, 0.5588235
0d01060800200024301000000000000000, 39, 0.51282054
0d850200000000a4300000000010000000, 32, 0.46875
0d02210000000010304000000020004200, 42, 0.52380955
0d42080000000010300000000080004201, 74, 0.5945946
0d42210000000000304000000020004200, 37, 0.5405405
0d00210400000000302000000000400a01, 58, 0.46551725
0d01100800000024300000000010008002, 25, 0.28
0d0a010000000000306000000080100001, 35, 0.37142858
0d01000800000024300000000010008102, 52, 0.46153846
0d00120000000084301000000010800002, 53, 0.4716981
0d02200000100008300000000001100201, 29, 0.55172414
0d00090100000000302000000080004201, 10, 0.5
0d08000000000050302800000000400201, 44, 0.4090909
0d02011000000040302801000000000800, 24, 0.45833334
0d01120004000000300000000002800402, 20, 0.55
0d0a800000100010302000000000100001, 64, 0.59375
0d00020000a00020301100000010000100, 5, 0.8
0d80020200000024301000000440000000, 31, 0.67741936
0d005200000000a0300000000040000102, 22, 0.4090909
0d02000500000010302800000000100200, 30, 0.46666667
0d00020801000020301400000000000102, 48, 0.5208333
0d00090400000058302000000000000200, 15, 0.4
0d00122000000020301400000040008000, 24, 0.45833334
0d02080400000050302000000000000801, 46, 0.5
0d02080400000010302000000000100801, 43, 0.4883721
0d81100000000020300400000040800002, 51, 0.5686275
0d02010000000000312000000000004a01, 8, 0.25
0d00122004000024300000000000000102, 16, 0.5625
0d00122004000024301000000000000002, 12, 0.41666666
0d05020000200020301000000000010002, 43, 0.60465115
0d02010000100010302000000020100200, 58, 0.5344828
0d00020000000024301000000140800002, 19, 0.47368422
0d02000500000010302000200000004200, 46, 0.6086956
0d00020000200020301000140000000102, 5, 0.2
0d02090000000040302000000001400200, 15, 0.4
0d02000400000018302001000000000201, 18, 0.3888889
0d80120000000020300000000000010502, 13, 0.3846154
0d02090400000000306000000000004200, 46, 0.5
0d0a001000000050302000000000000201, 58, 0.5
0d80060000000020301000000010000102, 46, 0.54347825
0d05020000000024300000000040800002, 44, 0.47727272
0d80020000000020301400000010000102, 66, 0.5
0d0001000010005a302000000000000200, 51, 0.49019608
0d80120200000000300000000050000102, 27, 0.4074074
0d0a810400000000300000000000400201, 38, 0.42105263
0d04100000000020301400000002800002, 13, 0.15384616
0d80040000000020308000400010000102, 4, 0.25
0d00080000000010302000000000005a01, 6, 0.16666667
0d00080000000010306000000000004a01, 47, 0.4680851
0d02000000000010300000600020004201, 1, 0
0d42094000100008300000000000000200, 2, 0
0d81060001000000300000000000008102, 41, 0.41463414
0d04000000200025301000000000800002, 13, 0.3846154
0d00022000000020309000040000000500, 8, 0.375
0d05000000200024301000000000800002, 32, 0.34375
0d0a011000000000300000000001400a00, 14, 0.42857143
0d000000000000a0301000100004800402, 4, 0.5
0d02200000000010300000000000005a01, 32, 0.625
0d00044000200020300000000010200102, 26, 0.53846157
0d42094000000010302800000000000000, 4, 0.5
0d85020000000004301000000000200002, 44, 0.5
0d00010100100018302000200000000200, 10, 0.7
0d40000100100018302000200000000200, 38, 0.65789473
0d0a080000000010306000000000004001, 71, 0.5915493
0d0a091000010000300000000000000201, 8, 0.375
0d81062001000000300000000010000002, 28, 0.60714287
0d000200000000a0300400100000000502, 36, 0.6388889
0d00020800000020300000100040000502, 12, 0.33333334
0d52010000100008302000000000000200, 11, 0.45454547
0d02014000100010302000000020000200, 64, 0.53125
0d00022000000020300000100004000502, 16, 0.5
0d05020000040020301000000000800002, 5, 0.2
0d42010000100010302000000020000200, 70, 0.5285714
0d01100000000024301000000002800002, 75, 0.56
0d02010400000010300000000000420a00, 83, 0.60240966
0d01020000000020309402000000000100, 68, 0.5
0d01022000020020301000100000000100, 36, 0.3888889
0d00100000000024301000000002800102, 55, 0.47272727
0d02000000000000302000240001400201, 7, 0.85714287
0d02011000010018302000000000000200, 85, 0.5647059
0d4a410000000000302000000000000201, 7, 0.85714287
0d01020000000020301000040001800002, 4, 0.75
0d00020000000020309001000110000002, 1, 0
0d00000000000024309000100004200002, 3, 0.33333334
0d00020800240020301000100000000100, 7, 0.85714287
0d800200000000a0301000400010000400, 5, 0.6
0d01022000000000300000000000201502, 8, 0.25
0d02000000000010316001000000000a00, 2, 0
0d0a000000500000312000000000000201, 8, 0.25
0d02000000000018302000000001400201, 52, 0.5
0d02010000000010312001000000000a00, 8, 0.5
0d01060004000020309000000000000002, 3, 0.33333334
0d00022000040084301000100000000002, 1, 0
0d01064000200020301000000000200000, 15, 0.46666667
0d01020000000084301000100000800002, 19, 0.5263158
0d00022000040080301000100000000102, 1, 0
0d42001000040018302000000080000000, 8, 0.75
0d054200002000a0300000000000000100, 17, 0.64705884
0d00020000000005300000100000a00102, 4, 0.25
0d02011100000008302800000000000001, 7, 0.42857143
0d42011000000008302800000000000001, 23, 0.47826087
0d42011100000008302800000000000000, 7, 0.42857143
0d01064000000000300000000000088102, 23, 0.3478261
0d81020200000000300000400010000402, 2, 0
0d00020000000024309002000004000100, 3, 0.33333334
0d05040000000020301000000002800002, 42, 0.45238096
0d00020000000024309002100004000000, 1, 0
0d00020000000004300000400010208102, 14, 0.35714287
0d50010000000008302800000000000201, 37, 0.4864865
0d140000002000a0300000000000000502, 14, 0.2857143
0d110000002000a0300000000000000502, 24, 0.5833333
0d52210000000000302000000000100200, 18, 0.5
0d01020000000020300000000000201502, 46, 0.5869565
0d01120000000020300000100004200002, 11, 0.36363637
0d12210000000000302000000000100201, 10, 0.7
0d05022800000020301000100000000000, 28, 0.42857143
0d02001400000000302800200000004001, 81, 0.6419753
0d00000000000024301000000040a00102, 29, 0.4827586
0d000000000000103020000000a0104201, 32, 0.375
0d0a201000100050300000000000000200, 18, 0.44444445
0d02080000100000302800000000104001, 55, 0.4909091
0d02210000000050306000200000000000, 44, 0.4318182
0d4a000000000010300000000080400201, 77, 0.5194805
0d010220000000a4300000000040000100, 51, 0.47058824
0d00001000100048302000000080000201, 42, 0.45238096
0d4a000000000010304000400080000200, 32, 0.46875
0d00020800000004301000000000008502, 71, 0.52112675
0d11020800000020308000000010000100, 2, 0
0d4a010000000000304000400080000200, 20, 0.5
0d02011100000000302000200000000201, 5, 0.6
0d05060000000020308000000000000102, 7, 0.14285715
0d04062001000020301000000000000002, 8, 0.75
0d42011100000000302000200000000200, 1, 0
0d42010000000010306000000020000200, 18, 0.3888889
